Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.13862,41.40219,Excellent Duplex in Sarrià with Private Pool,Spain,110.0,Entire home/apt,9.0
2.16187,41.39228,Batllo Apartment Barcelona,Spain,85.0,Entire home/apt,10.0
2.17745,41.38273,Studio located in the best part of the city,Spain,110.0,Entire home/apt,9.0
2.15491,41.40252,Stylish design 1 bed in the heart of Gracia,Spain,25.0,Entire home/apt,9.0
2.16739,41.39268,Barcelona Super Central Apartment,Spain,82.0,Entire home/apt,10.0
2.15611,41.37384,BARCELONA FIRA FAMILY,Spain,83.0,Entire home/apt,9.0
2.20727,41.39763,UD Rambla Suites  Pool 27 (2 BR),Spain,175.0,Entire home/apt,9.0
2.16311,41.37766,Comfortable Apartment Sant Antoni area for months,Spain,45.0,Entire home/apt,10.0
2.19552,41.39343,2379 - AB Vila Olimpica - Icaria Apartment - Bright and modern apartment with amazing pool in Vila Olímpica,Spain,80.0,Entire home/apt,9.0
2.1586,41.38186,2378 - AB Casa Farreras A - Amazing 1-bedroom Apartment with a Private Terrace,Spain,100.0,Entire home/apt,9.0
2.16011,41.40502,Terrace and pool apartment near the Barcelona,Spain,110.0,Entire home/apt,9.0
2.16088,41.39817,2541 - AB GRACIA SPACIOUS - Apartment for 4 with private terrace in Gràcia,Spain,70.0,Entire home/apt,9.0
2.19012,41.38033,2633 - AB Barceloneta - Artistic Style Apartment - Beachside apartment for 2 with balcony and WiFi,Spain,60.0,Entire home/apt,9.0
2.17574,41.40557,ABSOLUTE SAGRADA FAMILIA 2,Spain,115.0,Entire home/apt,10.0
2.15482,41.38046,WONDERFUL APARTMENT NEAR PASEO DE GRACIA,Spain,80.0,Entire home/apt,9.0
2.15076,41.4069,Design apartment with amazing views,Spain,75.0,Entire home/apt,9.0
2.17051,41.39397,Paseo de Gracia Apartment 4 3,Spain,90.0,Entire home/apt,9.0
2.1788,41.40387,Sagrada Familia up to 6!!,Spain,50.0,Entire home/apt,9.0
2.18163,41.4073,Eixample Dret València Cartagena,Spain,71.0,Entire home/apt,8.0
2.17445,41.3973,Precioso Apartamento en Barcelona *Bcn* C02,Spain,150.0,Entire home/apt,9.0
2.15466,41.37391,Plaza Espanya,Spain,70.0,Entire home/apt,7.0
2.1737,41.3846,Cozy Apartment Las Ramblas,Spain,45.0,Entire home/apt,10.0
2.17372,41.39858,Precioso Estudio en Barcelona *Bcn* C01,Spain,72.0,Entire home/apt,10.0
2.16664,41.39064,ON Passeig de Gràcia LUXURY 2BR TERRACE&concierge,Spain,160.0,Entire home/apt,9.0
2.13589,41.40416,ruhige Wohnung mit WLAN in Barcelona,Spain,59.0,Entire home/apt,9.0
2.19103,41.39184,Vila Olímpica Sant Martí - Sardenya,Spain,103.0,Entire home/apt,9.0
2.13627,41.37637,Barcelona Just Like Home - Green,Spain,120.0,Entire home/apt,9.0
