Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating,Host_Name,No_Of_BedRooms,No_Of_BathRooms,No_Of_Beds
2.18339,41.38499,Stunning vintage room with AC (old town),Spain,65.0,Private room,10.0,Ana & Tony,1.0,1.0,1.0
2.17691,41.40525,Wonderful double-room centrally located,Spain,26.0,Private room,10.0,Victoria & Ivan,1.0,1.0,1.0
2.14085,41.37464,Double room(close to airport and center),Spain,38.0,Private room,9.0,Fanny,1.0,2.0,1.0
2.1527,41.4258,ROOM SWEET ROOM. only 25 min from the center.,Spain,23.0,Private room,10.0,Maria Victoria,1.0,1.0,1.0
2.16472,41.40411,Sagrada Familia - Comfortable and cosy double room,Spain,60.0,Private room,10.0,France,1.0,1.0,1.0
2.1617,41.39866,Piso muy céntrico en Gràcia,Spain,25.0,Private room,9.0,Guzman,1.0,1.0,1.0
2.15059,41.37897,Private room with double bed next to Plaza Espana,Spain,37.0,Private room,9.0,Nega,1.0,1.5,2.0
2.17323,41.38797,WONDERFUL SPACIOUS DOBLE ROOM IN BARCELONA CENTER,Spain,40.0,Private room,9.0,Martin,1.0,2.0,1.0
2.16632,41.40419,Acogedor alojamiento en SAGRADA FAMILIA,Spain,29.0,Private room,10.0,Sergio,2.0,1.0,2.0
2.16072,41.406,Cosy Double Room in a bright flat!,Spain,70.0,Private room,9.0,Milena,1.0,2.0,1.0
2.14983,41.38533,Private room in L'eixample,Spain,22.0,Private room,9.0,Daisy,1.0,1.0,1.0
2.18328,41.38321,Comfortable room 5 minutes from the beach,Spain,50.0,Private room,9.0,Luis,1.0,1.0,1.0
2.15207,41.40124,"Double room, livingroom and terrace",Spain,25.0,Private room,10.0,Andrea,1.0,1.0,1.0
2.13769,41.3646,Luminous Vintage Room near Plaza España,Spain,25.0,Private room,9.0,Stephanie & Edgardo,1.0,1.0,2.0
2.15266,41.40163,Habitación privada en el corazón de Gracia,Spain,30.0,Private room,10.0,Ines,1.0,1.0,1.0
2.18479,41.40548,Amazing single room in Sagrada Familia area!!,Spain,30.0,Private room,10.0,Sergio,1.0,1.0,1.0
2.14387,41.38765,MP Room for 2 persons bunk bed in shared apartment,Spain,32.0,Private room,9.0,Francisco,1.0,1.0,1.0
2.15252,41.37667,Single room Barcelona center,Spain,17.0,Private room,9.0,Jonás,1.0,1.0,1.0
2.17911,41.39691,Mestral Mar Doble hab. 5-6,Spain,66.0,Private room,8.0,Mestral,1.0,2.0,2.0
2.18628,41.39811,Habitación individual.,Spain,14.0,Private room,9.0,Jordi,1.0,2.0,1.0
2.16278,41.38545,New Holiday Master Suite with Balcony in Eixample,Spain,84.0,Private room,10.0,Elia & Silvia,1.0,1.0,2.0
2.18269,41.40006,Room with balcony,Spain,40.0,Private room,9.0,Roman,1.0,1.0,1.0
2.187,41.41361,H MERIDIANA 1,Spain,19.0,Private room,9.0,Catherine,1.0,1.0,1.0
2.17694,41.41944,Ático Del Guinardo,Spain,45.0,Private room,8.0,Dario,0.0,2.0,2.0
2.16481,41.39959,Habitación individual Eixample,Spain,26.0,Private room,10.0,Jose & Cláudia Maria,1.0,1.0,1.0
2.13675,41.41756,"Modern & Quiet 2 bedroom house, patio&views!",Spain,69.0,Private room,9.0,Koen,2.0,1.0,3.0
2.20377,41.42283,"Lovely room close to beach,15 min center",Spain,32.0,Private room,9.0,Sergi,1.0,1.0,1.0
2.17337,41.43616,Habitación para tres en Barcelona cerca  transport,Spain,110.0,Private room,9.0,Isabel,1.0,1.0,3.0
2.15993,41.39162,Comfortable and Accesible For Groups (H1+H2),Spain,140.0,Private room,8.0,George,2.0,3.0,5.0
2.13697,41.37756,A Private Room for 4 People,Spain,200.0,Private room,9.0,Claudiu Nicolae,1.0,1.0,4.0
2.21575,41.41429,Cozy double room in Barcelona close to beach,Spain,17.0,Private room,9.0,Mila,1.0,1.0,1.0
2.14405,41.3859,"Cómoda Habitación L'Eixample, Gracia",Spain,10.0,Private room,8.0,Grace,1.0,1.0,2.0
2.21825,41.4141,Sweet home!!!,Spain,26.0,Private room,9.0,Sofia,1.0,1.0,1.0
2.18543,41.45542,A natural and calm corner in Barcelona,Spain,38.0,Private room,10.0,Alexandra,1.0,2.0,1.0
2.17909,41.43897,Habitación  acogedora vacacional,Spain,25.0,Private room,10.0,Lupe,1.0,1.0,1.0
2.18275,41.3848,BCN center / balcony - ensuite bathroom,Spain,55.0,Private room,10.0,Olivier,1.0,1.0,1.0
2.19112,41.41492,Cosy interior room for 2! I CA,Spain,15.0,Private room,9.0,Alexandr,1.0,2.0,1.0
2.17263,41.40557,Twin Room with Shared Bathroom,Spain,25.0,Private room,9.0,Andres,1.0,1.0,2.0
2.15105,41.38455,Habitación con terraza y mucha luz en el centro.,Spain,30.0,Private room,9.0,Lola,1.0,1.0,1.0
2.18748,41.418,"Private, double room in Barcelona",Spain,60.0,Private room,9.0,Aneta,1.0,1.0,2.0
2.17186,41.37953,Cosy Single Room in the Centre,Spain,29.0,Private room,9.0,Kate,1.0,1.0,1.0
2.14653,41.42339,Habitación acogedora en zona muy tranquila,Spain,40.0,Private room,9.0,Priscila & Juliano,1.0,1.0,1.0
2.14745,41.38376,Amazing place in Barcelona centre,Spain,59.0,Private room,9.0,Jorge,1.0,1.0,1.0
2.12807,41.40666,Villa Romantika Doppel Zimmer Afrika,Spain,100.0,Private room,9.0,Tatjana,1.0,1.0,1.0
2.17232,41.41188,HABITACIÓN DOBLE EN EL CENTRO MUY BIEN COMUNICADA,Spain,35.0,Private room,9.0,Shattia,1.0,2.0,1.0
2.17862,41.38659,Doble room in the heart of BCN - Born,Spain,31.0,Private room,9.0,Bikey,0.0,1.0,1.0
2.15374,41.37718,PRETTY ROOM IN BARCELONA-A/C-NEAR PLAZA ESPAÑA,Spain,35.0,Private room,9.0,Daniel,1.0,1.0,1.0
2.1795,41.3791,Barcelona centro - Barrio Gótico,Spain,50.0,Private room,8.0,Juliana,1.0,1.0,1.0
2.18496,41.41015,Spacious bright single bedroom,Spain,15.0,Private room,10.0,Yuri,1.0,1.5,1.0
2.17343,41.38084,Perfect Location! QUIET ROOM just off LA RAMBLA,Spain,29.0,Private room,9.0,Carolina,1.0,1.5,1.0
2.1708,41.37868,El castillo del raval,Spain,30.0,Private room,9.0,Ca,1.0,1.0,1.0
2.16731,41.37874,Relax in the Raval - Room with Balcony,Spain,50.0,Private room,9.0,Erwin And Isabel,1.0,1.0,1.0
2.20417,41.43574,(C)Private double Bedroom next to metro. Free WiFi,Spain,15.0,Private room,8.0,Maria Josi,1.0,1.0,2.0
2.11271,41.41055,villa maravilla,Spain,100.0,Private room,9.0,Monica,1.0,1.0,1.0
2.19584,41.39595,Big sunny room! Perfect location!,Spain,45.0,Private room,8.0,Uncredable,1.0,3.0,2.0
2.13806,41.40144,2 habitaciones en piso bonito y bien situado,Spain,56.0,Private room,9.0,Tati,2.0,1.0,4.0
2.16422,41.38119,Double room in Barcelona Center with balcony!!!!,Spain,50.0,Private room,10.0,Andreu,1.0,1.0,1.0
2.17513,41.37837,Sunny Private Room with balcony in LA RAMBLA- WIFI,Spain,28.0,Private room,9.0,Julio,1.0,1.0,1.0
2.17344,41.37609,"Cosy place in the Heart of Barcelona DOWNTOWN,WIFI",Spain,22.0,Private room,9.0,Julio,1.0,1.0,2.0
2.14838,41.38453,habitación privada plaza España 2,Spain,110.0,Private room,10.0,Eucaris,1.0,1.0,1.0
2.17262,41.37539,Room in the center of Barcelona,Spain,2000.0,Private room,9.0,Gustavo,0.0,1.0,1.0
2.15819,41.38308,Well connected central modernist apartment,Spain,80.0,Private room,10.0,Anna,1.0,1.0,2.0
