Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.1734,41.40151,Sunny apartment in Sagrada Familia,Spain,98.0,Entire home/apt,9.0
2.2045,41.3978,Experience Local Living in Well-Connected Beach Retreat,Spain,50.0,Entire home/apt,9.0
2.16745,41.39611,Modernist apartment principal,Spain,268.0,Entire home/apt,8.0
2.16932,41.40323,Double Bed in the very middle of Barcelona,Spain,40.0,Private room,9.0
2.1801,41.3926,Arc del Triomf - Big double room in authentic flat,Spain,19.0,Private room,9.0
2.18146,41.41484,PRIVATE ROOFTOP WITH VIEWS,Spain,55.0,Entire home/apt,9.0
2.15199,41.379,Habitación Gayfriendly l'Eixample,Spain,60.0,Private room,9.0
2.1918,41.39423,DOUBLE ROOM + PERFECT LOCATION,Spain,30.0,Private room,9.0
2.17427,41.3953,Gran Via De Luxe 5* DaysinBarcelona,Spain,494.0,Entire home/apt,9.0
2.16747,41.40354,Modern refurbished flat in Gracia,Spain,150.0,Entire home/apt,10.0
2.17724,41.40955,Sagrada Familia Butterfly,Spain,108.0,Entire home/apt,9.0
2.15993,41.37338,LAST CALL MWC - Bedroom w/ private wc and balcony,Spain,130.0,Private room,9.0
2.13445,41.36859,Near the center and the airport . Double room,Spain,30.0,Private room,9.0
2.14606,41.3708,Lovely room in design apartment in Plaza España,Spain,60.0,Private room,10.0
2.17109,41.38767,"2427 - AB Plaça Catalunya 3-4 - Luxury 2-Bedroom Apartment, Steps from Plaça de Catalunya",Spain,500.0,Entire home/apt,8.0
2.15955,41.38006,Private Room & King Size Bed (Eixample),Spain,60.0,Private room,9.0
2.16653,41.38154,Cosy single room en el Raval,Spain,20.0,Private room,10.0
2.1805,41.38044,"Dali IV, Friendly Rentals",Spain,60.0,Entire home/apt,8.0
2.16109,41.39727,Exterior room with double bed and terrace!!,Spain,31.0,Private room,9.0
2.17074,41.39056,Two rooms with great view sagrada familia,Spain,100.0,Private room,9.0
2.17062,41.38947,"Plaza Catalunya V, Friendly Rentals",Spain,99.0,Entire home/apt,9.0
2.16481,41.37671,Apartment next to Las Ramblas and Paral·lel,Spain,60.0,Entire home/apt,8.0
2.15576,41.3856,2294 - AB Aragó Apartment 2-C - Central Apartment with a Communal Terrace in Eixample,Spain,500.0,Entire home/apt,8.0
2.18156,41.40431,Bright room in sagrada familia,Spain,15.0,Private room,9.0
2.20132,41.39454,MAR 402 Tres habitaciones junto a la Playa,Spain,400.0,Entire home/apt,9.0
2.16414,41.39654,"Caliu, Friendly Rentals",Spain,165.0,Entire home/apt,9.0
2.15144,41.38256,YOUR SUNNY DOUBLE BEDROOM IN THE CENTER,Spain,45.0,Private room,9.0
2.17611,41.37962,Nice apartment in Plaça Reial for long stay,Spain,60.0,Entire home/apt,9.0
2.15649,41.38545,2295 - AB Aragó Apartment2-D - Sleek Apartment with a Communal Terrace in Eixample,Spain,450.0,Entire home/apt,9.0
2.18081,41.38741,Sunny Born with Balcony,Spain,90.0,Entire home/apt,8.0
2.19603,41.39933,Large and bright room near the beach - Poblenou,Spain,52.0,Private room,10.0
2.181,41.40318,Cozy room in Sagrada Familia,Spain,15.0,Private room,10.0
2.15881,41.39925,Heart of the City-Cozy Room Private Sunny Balcony!,Spain,14.0,Private room,9.0
2.14977,41.39483,Big 4 Bedroom~,Spain,200.0,Entire home/apt,9.0
2.16187,41.37292,Double room in Poble sec,Spain,25.0,Private room,9.0
2.1966,41.39356,Habitación en Villa Olímpica,Spain,30.0,Private room,9.0
2.19151,41.38024,Beautiful Flat with Private Terrace in Barceloneta,Spain,55.0,Entire home/apt,10.0
2.15476,41.379,"CALABRIA, central, large, 4 bedrooms",Spain,92.0,Entire home/apt,9.0
2.1621,41.39583,"Luxury PRIVATE room on Gracia, 2min from everythng",Spain,99.0,Private room,9.0
