Name,Country,Price,Room_Type,Review_Rating
BCN Duplex Mirò Monthly,Spain,89,Entire home/apt,9
Recién Re1 Apart delS.18 Núcleo Bcn,Spain,89,Entire home/apt,10
Frida's Centric&Stylish Studio Apt.,Spain,89,Entire home/apt,9
Penthouse. Terrace.,Spain,87,Entire home/apt,9
MONTJUIC FOUNTAINS APARTMENT,Spain,85,Entire home/apt,9
Cozy 3bed/2bath w/balcony close to Sagrada Familia,Spain,85,Entire home/apt,7
Stylish Flat in BCN city center,Spain,85,Entire home/apt,9
New apartment near Sagrada Familia,Spain,85,Entire home/apt,10
"Glorias:Sagrada Familia 15minutes, Beach 20minutes",Spain,85,Entire home/apt,9
Tucson Suites,Spain,85,Entire home/apt,9
Batllo Apartment Barcelona,Spain,85,Entire home/apt,10
"Sunny and spacious loft, close to beach",Spain,85,Entire home/apt,10
Park Guell apartment with terrace,Spain,85,Entire home/apt,8
"Amazing NEW Food Lover Balcony, close to FIRA, MWC",Spain,84,Entire home/apt,9
BARCELONA FIRA FAMILY,Spain,83,Entire home/apt,9
Barcelona Super Central Apartment,Spain,82,Entire home/apt,10
pid MODERN 1 BED FLAT NEXT OLD TOWN,Spain,81,Entire home/apt,9
Romantic and quiet apartment with Air Conditioning,Spain,80,Entire home/apt,9
WONDERFUL APARTMENT NEAR PASEO DE GRACIA,Spain,80,Entire home/apt,9
Piso 3 habitaciones con encanto en Fuente Mágica,Spain,80,Entire home/apt,9
Poblenou Comfort por meses,Spain,80,Entire home/apt,9
GAUDI:50 m from the Sagrada Familia,Spain,80,Entire home/apt,9
Family Duplex 2Adults+2Children Steps From Subway Station in BCN Center,Spain,80,Entire home/apt,9
2379 - AB Vila Olimpica - Icaria Apartment - Bright and modern apartment with amazing pool in Vila Olímpica,Spain,80,Entire home/apt,9
Plaza two bedroom apartment,Spain,80,Entire home/apt,9
SUNNY APARTMENT FIRA BARCELONA CAMP NOU,Spain,80,Entire home/apt,9
On The Ramblas 5 Studio Apartment,Spain,80,Entire home/apt,8
Contemporary Loft near Plaza Cat.Sleeps 4- Coli 54,Spain,80,Entire home/apt,9
On The Ramblas 4 Studio Apartment,Spain,80,Entire home/apt,8
Beautiful apartment in the city centre of BCN!!!,Spain,80,Entire home/apt,10
Piso de lujo en Sagrada Familia,Spain,79,Entire home/apt,9
antiguo loft-barna,Spain,78,Entire home/apt,9
"sf21 YES, VERY CLOSE TO LA SAGRADA FAMILIA AND ...",Spain,76,Entire home/apt,9
Boqueria - Cosy studio in Born,Spain,76,Entire home/apt,10
Barcelona Apartment Sarrià Pedralbes,Spain,75,Entire home/apt,9
CAMP NOU MUNNE 2-2 APARTMENT,Spain,75,Entire home/apt,9
One-Bedroom Apartment with Balcony,Spain,75,Entire home/apt,8
Lovely 2bed/3bath in the heart of Eixample,Spain,75,Entire home/apt,9
Lovely and Modern 3-Bed Apartment in Lesseps,Spain,75,Entire home/apt,9
Design apartment with amazing views,Spain,75,Entire home/apt,9
Sunny penthouse with Parking,Spain,75,Entire home/apt,9
Luxury Apartment Diagonal (very sunny),Spain,75,Entire home/apt,10
New and central apartment up to 4!,Spain,75,Entire home/apt,9
MODERNIST AND LUXURIOUS FLAT IN IDYLLIC LOCATION,Spain,74,Entire home/apt,9
Precioso Estudio en Barcelona *Bcn* C01,Spain,72,Entire home/apt,10
Luxury 2 bedroom apartment infront of the beach,Spain,72,Entire home/apt,9
Eixample Dret València Cartagena,Spain,71,Entire home/apt,8
Plaza Espanya,Spain,70,Entire home/apt,7
Hermoso Apartamento SPBP22388,Spain,70,Entire home/apt,9
pb2 IDEAL LOCATION! WITH TERRACE CHARMING & QUIET!,Spain,70,Entire home/apt,9
Acogedor loft en Barcelona,Spain,70,Entire home/apt,9
2541 - AB GRACIA SPACIOUS - Apartment for 4 with private terrace in Gràcia,Spain,70,Entire home/apt,9
SUNNY RAMBLAS 2,Spain,70,Entire home/apt,10
Newly renovated apartment in Barcelona Eixample,Spain,69,Entire home/apt,9
Sagrada Familia-auditorium. FREE WI-FI.,Spain,69,Entire home/apt,9
Open Wall.Gran Vía 2.Renov 2015,Spain,68,Entire home/apt,9
GOTHIC RAMBLAS 2 APARTMENT,Spain,67,Entire home/apt,8
Beautiful and bright flat in Born Barcelona,Spain,67,Entire home/apt,10
ELEGANT APARTMENT CLOSE TO RAMBLAS,Spain,65,Entire home/apt,9
5*Super host Apartment+terrace  8 min from Ramblas,Spain,63,Entire home/apt,10
"2641 - AB Premium Old Town E-2 - Modern, 2-bedroom Old Town apartment close to Las Ramblas and Plaça de Catalunya",Spain,63,Entire home/apt,9
"Dover 42, Friendly Rentals",Spain,62,Entire home/apt,8
AMAZING VIEWS PENTHOUSE PARK GUELL,Spain,61,Entire home/apt,8
Amplio y luminoso.,Spain,60,Entire home/apt,10
Estudio en el casco antiguo. Alquiler mensual,Spain,60,Entire home/apt,9
NEW! Piso Premium en Ps de Gracia!,Spain,60,Entire home/apt,10
"Dali IV, Friendly Rentals",Spain,60,Entire home/apt,8
2633 - AB Barceloneta - Artistic Style Apartment - Beachside apartment for 2 with balcony and WiFi,Spain,60,Entire home/apt,9
Apartment next to Las Ramblas and Paral·lel,Spain,60,Entire home/apt,8
Beautiful Apartment Sagrada Familia SPB332388,Spain,60,Entire home/apt,9
Sagrada Familia Gaudi,Spain,60,Entire home/apt,9
Nice stay in Gracia,Spain,60,Entire home/apt,10
GRACE BEAUTIFUL LOFT IN BARCELONA-At least 32 days,Spain,60,Entire home/apt,7
Nice apartment in Plaça Reial for long stay,Spain,60,Entire home/apt,9
CITY CENTER FLAT WITH VIEW TERRACE,Spain,59,Entire home/apt,9
ruhige Wohnung mit WLAN in Barcelona,Spain,59,Entire home/apt,9
Rustic Gaudí - Sagrada Família,Spain,59,Entire home/apt,9
"Elegant studio in old town Barcelona, El Gothic",Spain,58,Entire home/apt,10
great Terrace&lift city center,Spain,58,Entire home/apt,8
GENIAL APARTAMENTO EN SANTS (BHM2-3564),Spain,57,Entire home/apt,9
