Name,Country,Price,Review_Rating
villa maravilla,Spain,100,9
sunny flat,Spain,100,9
Charming room near Glories,Spain,100,9
"Bright 1 bedroom, Sagrada Familia, long term¦",Spain,100,9
Two rooms with great view sagrada familia,Spain,100,9
RAMBLAS 1,Spain,100,7
LetsgoBarcelona Diagonal Ave. Duplex,Spain,100,8
Bonito y cómodo loft en el centro,Spain,100,9
Romantic one bedroom apartment in Eixample,Spain,100,9
Elegant flat in romantic old city,Spain,100,9
"A place near to the RAmbla ,but in a quite street",Spain,100,9
Villa Romantika Doppel Zimmer Afrika,Spain,100,9
Comfort Luxury center apartment,Spain,100,9
2378 - AB Casa Farreras A - Amazing 1-bedroom Apartment with a Private Terrace,Spain,100,9
Studio with Terrace next to Rambla and Monjuic,Spain,100,9
Plaza España Apartment,Spain,100,8
Sunny Attic with Pool and Terrace near the Beach!,Spain,99,9
Elegant apartment Sagrada Familia,Spain,99,9
Beautiful Sagrada Familia apartment,Spain,99,9
"Luxury PRIVATE room on Gracia, 2min from everythng",Spain,99,9
Light Loft | Walk to the Beach | Free Parking,Spain,99,9
"Plaza Catalunya V, Friendly Rentals",Spain,99,9
Sunny apartment in Sagrada Familia,Spain,98,9
Lovely Apartment in the heart of Barcelona.,Spain,98,9
Orange tree View flat with patio,Spain,97,10
Cozy Apartment on Sortidor Square,Spain,96,9
Loft Miro,Spain,96,9
FANTASTIC APARTMENT SAGRADA FAMILIA,Spain,95,9
Apartment- Private livingroom-kitchen-bathroom,Spain,95,9
"ATICO CON LAS MEJORES VISTAS DE BARCELONA UNICO,",Spain,95,10
Beautiful Area Single Room,Spain,95,10
"Newly renovated studio, trendy borne area, terrace",Spain,95,9
Private Room in Renovated Library w/ Swimming Pool,Spain,95,10
New! Bright 2bed easily connected to the center,Spain,94,9
"CALABRIA, central, large, 4 bedrooms",Spain,92,9
Confortable apartment in BCN- WIFI,Spain,91,9
Alcam Colon 52 Apartment,Spain,91,9
Alcam Colón 42 Apartment,Spain,91,8
Sunny Born with Balcony,Spain,90,8
Habitación muy grande con vistas espectaculares.,Spain,90,10
Paseo de Gracia Apartment 4 3,Spain,90,9
1tnf SUPER GREAT LOCATION IN BARCELONA!!!,Spain,90,8
Art Gallery Apartment 2B,Spain,90,9
Modern Beachside Apartment with Balcony,Spain,90,10
Next to Barcelona Fair and Magic Fountain,Spain,90,9
Vibrant Flat with Rooftop Terrace and City Views,Spain,90,10
Sagrada Familia up to 6,Spain,90,9
"1 bedroom apartment + sofa bed, balcony.",Spain,90,9
Frida's Centric&Stylish Studio Apt.,Spain,89,9
BCN Duplex Mirò Monthly,Spain,89,9
Trendy apartment in BCN centre,Spain,89,9
"Yurbban Suite Terrace, Breakfast Included",Spain,89,9
"Beautiful Double interior room, Breakfast Included",Spain,89,10
Recién Re1 Apart delS.18 Núcleo Bcn,Spain,89,10
"Bright, Central Apartment with Traditional and Modern Design",Spain,88,10
Penthouse. Terrace.,Spain,87,9
Stylish Flat in BCN city center,Spain,85,9
New apartment near Sagrada Familia,Spain,85,10
MONTJUIC FOUNTAINS APARTMENT,Spain,85,9
"Glorias:Sagrada Familia 15minutes, Beach 20minutes",Spain,85,9
Batllo Apartment Barcelona,Spain,85,10
Park Guell apartment with terrace,Spain,85,8
LOVELY AND CENTRAL ROOM,Spain,85,9
Tucson Suites,Spain,85,9
Plaza Real Room,Spain,85,10
"Sunny and spacious loft, close to beach",Spain,85,10
Cozy 3bed/2bath w/balcony close to Sagrada Familia,Spain,85,7
New Holiday Master Suite with Balcony in Eixample,Spain,84,10
"Amazing NEW Food Lover Balcony, close to FIRA, MWC",Spain,84,9
BARCELONA FIRA FAMILY,Spain,83,9
Barcelona Super Central Apartment,Spain,82,10
pid MODERN 1 BED FLAT NEXT OLD TOWN,Spain,81,9
Romantic and quiet apartment with Air Conditioning,Spain,80,9
LOCATION! PVT Double BR w/Balcony across the BEACH,Spain,80,10
Well connected central modernist apartment,Spain,80,10
Perfect Location! Suite Room 1 min from La Rambla,Spain,80,8
Comfortable room in Pedralbes,Spain,80,9
SUNNY APARTMENT FIRA BARCELONA CAMP NOU,Spain,80,9
Plaza two bedroom apartment,Spain,80,9
On The Ramblas 4 Studio Apartment,Spain,80,8
RAMBLAS AREA NEAR THE BEACH!! L,Spain,80,9
Contemporary Loft near Plaza Cat.Sleeps 4- Coli 54,Spain,80,9
Piso 3 habitaciones con encanto en Fuente Mágica,Spain,80,9
Beautiful apartment in the city centre of BCN!!!,Spain,80,10
On The Ramblas 5 Studio Apartment,Spain,80,8
Family Duplex 2Adults+2Children Steps From Subway Station in BCN Center,Spain,80,9
WONDERFUL APARTMENT NEAR PASEO DE GRACIA,Spain,80,9
Poblenou Comfort por meses,Spain,80,9
GAUDI:50 m from the Sagrada Familia,Spain,80,9
2379 - AB Vila Olimpica - Icaria Apartment - Bright and modern apartment with amazing pool in Vila Olímpica,Spain,80,9
Habitación espaciosa y elegante con AC y baño,Spain,80,10
Room A4,Spain,79,9
Piso de lujo en Sagrada Familia,Spain,79,9
antiguo loft-barna,Spain,78,9
STUDIO AT THE PRICE OF A ROOM,Spain,78,8
Boqueria - Cosy studio in Born,Spain,76,10
"sf21 YES, VERY CLOSE TO LA SAGRADA FAMILIA AND ...",Spain,76,9
New and central apartment up to 4!,Spain,75,9
Beautiful room for three!!,Spain,75,9
Lovely 2bed/3bath in the heart of Eixample,Spain,75,9
Design apartment with amazing views,Spain,75,9
Lovely and Modern 3-Bed Apartment in Lesseps,Spain,75,9
"Room @Eixample, 8 minutes walk from Passeig Gràcia",Spain,75,9
Sunny penthouse with Parking,Spain,75,9
CAMP NOU MUNNE 2-2 APARTMENT,Spain,75,9
One-Bedroom Apartment with Balcony,Spain,75,8
Luxury Apartment Diagonal (very sunny),Spain,75,10
Barcelona Apartment Sarrià Pedralbes,Spain,75,9
MODERNIST AND LUXURIOUS FLAT IN IDYLLIC LOCATION,Spain,74,9
Luxury 2 bedroom apartment infront of the beach,Spain,72,9
Precioso Estudio en Barcelona *Bcn* C01,Spain,72,10
Eixample Dret València Cartagena,Spain,71,8
Acogedor loft en Barcelona,Spain,70,9
pb2 IDEAL LOCATION! WITH TERRACE CHARMING & QUIET!,Spain,70,9
Cosy Loft in the Heart of Borne,Spain,70,8
Hermoso Apartamento SPBP22388,Spain,70,9
Plaza Espanya,Spain,70,7
Cosy Double Room in a bright flat!,Spain,70,9
2541 - AB GRACIA SPACIOUS - Apartment for 4 with private terrace in Gràcia,Spain,70,9
SUNNY RAMBLAS 2,Spain,70,10
Habitacion N#5  con baño privado,Spain,69,9
"Modern & Quiet 2 bedroom house, patio&views!",Spain,69,9
Lovely en-suite bedroom in city center,Spain,69,9
Sagrada Familia-auditorium. FREE WI-FI.,Spain,69,9
Newly renovated apartment in Barcelona Eixample,Spain,69,9
Spacious double room with balcony,Spain,69,10
(inRAMBLAS) 1double room! Historic center,Spain,68,9
Open Wall.Gran Vía 2.Renov 2015,Spain,68,9
bonita y comoda habitacion en el piso céntrico,Spain,67,9
GOTHIC RAMBLAS 2 APARTMENT,Spain,67,8
