Name,Price
Single Room with Balcony in Center,27
DOUBLE ROOM (1 or 2 people),27
Best location double room,27
Cómoda habitación individual + baño privado,27
Individual room in city center,27
Wonderful double-room centrally located,26
Sweet home!!!,26
Habitación individual Eixample,26
nice interior room at artistic place,26
Super Central Double Room & Free Breakfast (A),25
Double room in Poble sec,25
"Cozy room in Trinitat Vella, 15 min center BCN",25
Habitación centro Barcelona,25
DOUBLE ROOM IN THE HEART OF BCN,25
"Double room, livingroom and terrace",25
Piso muy céntrico en Gràcia,25
Luminous Vintage Room near Plaza España,25
Yun's Apartment (center of Barcelona),25
Room in shared apartment,25
"habitacion independiente, muy centrica",25
Twin Room with Shared Bathroom,25
Habitación  acogedora vacacional,25
SUPREME BALCONY DOUBLE ROOM,25
Room with natural lighting,25
Rooms in Barcelona (3 people=2 rooms),25
Calm room Barcelona,25
1 SingleRoom in Beautiful Flat Center,24
habitacion en Barcelona,24
Cosy room in the Born district,24
Quiet and bright room with balcony,24
Habitacion cerca a la playa room by the beach,23
Share a flat in a lovely penthouse with terrace,23
ROOM SWEET ROOM. only 25 min from the center.,23
Comfortable and sunny double room,23
Barcelona late desde el Raval.,22
SINGLE ROOM NEAR THE AIRPORT,22
"Cosy place in the Heart of Barcelona DOWNTOWN,WIFI",22
Private room in L'eixample,22
Sweet room near to parc güell,22
Room in penthouse with 2 terraces,22
Hab individual con terrazas y vistas a Barcelona,22
Secret room2,20
BED&BREAKFAST in the Attic / Room04,20
Céntrica Habitación,20
Cozy bedroom Sagrada Familia,20
Habitación en Gràcia-Barcelona muy bien comunicada,20
Habitación amplia cerca de gracia  con armario,20
Bonita y acogedora habitación,20
Cosy single room en el Raval,20
Arc del Triomf - Big double room in authentic flat,19
Nashs house 2,19
Nice room for city visitors,19
H MERIDIANA 1,19
Habitación cerca a Sagrada Familia,18
"Room,  Bikes and views!  SGL-DBL",18
Habitación doble al lado de La Pedrera,18
Bonita habitacion centrica-Sagrada Familia,18
PRIVATE ROOM WITH WIFI,18
Quiet & Cozy,18
COMFORTABLE AND IN THE CENTER.,18
Single room Barcelona center,17
Beautiful room at Tibidabbo,17
Cozy double room in Barcelona close to beach,17
Cozy room near Montjuic and city center,16
ALQUILER  HABITACIONES mir,16
Home Sharing - Individual Room in Plaza España,16
Hab. individual en Barcelona / Single room in Bcn,15
"Nice room in artistic apartment, very central",15
Habitacion individual para 1 person,15
DOUBLE ROOM for 1 or 2 ppl,15
La Sagrada Familia (and metro) 4 blocks!,15
Bright room in sagrada familia,15
Cozy room in Sagrada Familia,15
Cosy interior room for 2! I CA,15
Spacious bright single bedroom,15
(C)Private double Bedroom next to metro. Free WiFi,15
Habitación para dormir con cama de matrimonio,15
"ESPECTACULAR Vista Con Terraza MONTAŃA, Luminoso",15
Heart of the City-Cozy Room Private Sunny Balcony!,14
Habitación individual.,14
Habitación privada,12
Private room with sunny terrace of 200m2. 6,10
"Near the RAMBLA, the double room at  SEASIDE PORT1",10
"Cómoda Habitación L'Eixample, Gracia",10
